source,added,keep,name,search_ddg_tmp,party,gender,dep17,mandates,twitter,description,city,dept,geo,notes,notes_url,flag_collected_31_may_2019,EM_zone,EM_career,id,statuses,followers,created,last_tweeted
Twitter,2016-12,yes,Nicolas TOLLET,,UDI,m,,"Responsable politique national, Sans mandat électif courant",nicolastollet,Rio de Janeiro - Paris. International Anticorruption Lawyer & UC Berkeley Lecturer. Conseiller National UDI #TeamNKM,,,n,,,TRUE,,,144153312,1459,9072,2010,21/11/2016
Twitter,2016-12,yes,Bertrand VASNIER,,PS,m,,,bertrandvasnier,"Conseiller du 15eme arrondissement de Paris, Conseil National du PS, Bureau Federal PS Paris",paris,paris,y,,,TRUE,,,300750590,1884,1272,2011,17/12/2016
Twitter,2016-12,yes,Guillaume CARISTAN,,LR,m,,,gcaristan,Maire adjoint de Palaiseau - Candidat aux elections departementales - Charge de mission a la Federation Les Republicains de l'Essonne,,,n,,,TRUE,,,427528803,1669,3463,2011,03/12/2016
Twitter,2016-12,yes,Eric RICHERMOZ,,FN,m,,,erichermoz,Secretaire departemental @FNSomme (charge de mission). Conseiller regional de Picardie-NPDC. SG @CollecEcologie. VP Strategie et Communication du FN #AvecMarine,,,n,,,TRUE,,,947553182,3214,2393,2012,21/12/2016
Twitter,2016-12,yes,Isabelle SURPLY,https://duckduckgo.com/?q=Isabelle+SURPLY+twitter,FN,f,,,i_surply,Conseillere Regionale FN #AURA Responsable Communication FN Loire La verite vous rendra libre. St Jean. #AuNomDuPeuple #Marine2017,,,n,,,FALSE,,,1394491848,13421,3716,2013,20/12/2016
Twitter,2016-12,yes,Corinne ATLAN-TAPIER,,LR,f,,,c_atlan_tapiero,Conseiller d'arrondissement Les Republicains Paris12 Presidente de l'Observatoire des Parents &de l'Ecole-OPE Polemiste sur Europe1 Editorialiste SudRadio,paris,paris,y,,,TRUE,,,496907366,34244,3236,2012,20/12/2016
Twitter,2016-12,yes,David MARGUERITTE,,LR,m,,,dmargueritte,2eme vice-president de la @RegionNormandie en charge de la formation et de l'apprentissage. President du groupe LR UDI MODEM. Elu a #CherbourgenCotentin,cherbourg en cotentin,,y,,,TRUE,,,436816212,5608,2941,2011,21/12/2016
Twitter,2016-12,yes,Ann-Katrin JEGO,,UDI,f,,,akjego,Feministe Idealiste et aussi Conseillere de Paris Elue UDI du 16eme @Clubdes52 @CroixRouge @TourEiffel,paris,paris,y,,,TRUE,,,74116512,4366,1503,2009,20/12/2016
Twitter,2016-12,yes,Karim BOUAMRANE,,PS,m,,,karim_bouamrane,Porte-parole du Parti Socialiste. Secretaire national. Conseil National du PS. Sec Federal 93 Elu St-Ouen (1995-2014). Pdt Agir Pour St Ouen.,,,n,,,TRUE,,,845808001,9626,1777,2012,20/12/2016
Twitter,2016-12,yes,Brice ALZON,,LR,m,,,brice_alzon,President de la Maison des Services a la personne (MDSAP) - Conseiller d'arrondissement @Mairiedu2 - Chef de file Les Republicains @Paris2,paris,paris,y,,,TRUE,,,327243737,3108,2179,2011,20/12/2016
Twitter,2016-12,yes,Amaury NAVARRANNE,,FN,m,,,anavarranne,"Conseiller regional de Provence-Alpes-Cote-d'Azur, conseiller municipal de Toulon, membre du comite central du Front National",toulon,,y,,,TRUE,,,1048826018,3143,2047,2012,20/12/2016
Twitter,2016-12,yes,Jean-Baptiste DE FROMENT,,LR,m,,,jbdef,"Conseiller de Paris & du Grand Paris, elu du 9e arrondissement. Agrege de philosophie, ancien conseiller @NicolasSarkozy. Sec. national LR enseignement sup",paris,paris,y,,,TRUE,,,21748395,1907,2277,2009,16/12/2016
Twitter,2016-12,yes,Laurence VICHNIEVSKY,,MODEM,f,,,lvichnievsky,Profil officiel - Magistrat - Conseillere regionale modem Auvergne Rhone-Alpes,,,n,,,TRUE,,,85308962,224,1223,2009,14/11/2016
Twitter,2016-12,yes,Jérémy REDLER,,LR,m,,,jeremy_redler,Secretaire National des Republicains / Conseiller regional Ile-de-France / Adjoint au Maire du 16e arrondissement de Paris /President du groupe Les Republicains,paris,paris,y,,,TRUE,,,2365348744,1159,1471,2014,20/12/2016
Twitter,2016-12,yes,Pierre LISCIA,,LR,m,,"Supp17, Conseiller municipal",pierreliscia,Elu du 18e arrondissement de Paris - Delegue LR de la 17e circonscription de Paris - Delegue regional des jeunes Republicains pour l'Ile-de-France,paris,paris,y,,,TRUE,,,1166194854,3192,2709,2013,22/12/2016
Twitter,2016-12,yes,Chibli KAMEL,,PS,m,,,kamelchibli,Vice President du CR Midi-Pyrenees/Languedoc-Roussillon en charge de l'education jeunesse et sport Secretaire national PS au handicap et a l'exclusion,,,n,,,TRUE,,,582881179,1848,1546,2012,20/12/2016
Twitter,2016-12,yes,Thomas LAURET,,PS,m,,,thomaslauret16,Conseiller PS de Paris et du 16e,paris,paris,y,,,TRUE,,,722836423,3523,2513,2012,22/12/2016
Twitter,2016-12,yes,Florence BLATRIX,,PS,f,,Conseiller régional,florenceblatrix,Premiere Secretaire Federale du Parti Socialiste de l'Ain. Conseillere regionale Auvergne-Rhone-Alpes,,ain,y,,,TRUE,,,466565952,3371,1202,2012,22/12/2016
Twitter,2016-12,yes,Vincent MÉTIVIER,,UDI,m,,,v_metivier,Conseiller municipal #UDI @villedePuteaux // Tresorier UDI Hauts-de-Seine (92) // Chef Cab. a @issylesmoul // Formateur #FLE,,,n,,,TRUE,,,625702881,2777,1451,2012,21/12/2016
Twitter,2016-12,yes,Joelle MOREL,,EELV,f,,,joellemorel11,"Conseillere de Paris, Conseillere municipale du 11eme Europe Ecologie les Verts",paris,paris,y,,,TRUE,,,1571258378,4678,1175,2013,19/12/2016
Twitter,2016-12,yes,Marie-Laure FAGES,,PS,f,,,mlfages,"Secretaire nationale Droits de l'Homme et Humanitaire Parti socialiste, Directrice Fondation Univ Toulouse 3, Chargee de cours droit Univ Paris 1- Fee-ministe:)",,,n,,,TRUE,,,2221379404,10295,1129,2013,20/12/2016
Twitter,2016-12,yes,Sylvine THOMASSIN,,PS,f,,,s_thomassin,Maire de Bondy - Secretaire generale de l'Association des Maires d'Ile-de-France (AMIF) - Membre du Bureau National du Parti Socialiste,,,n,,,TRUE,,,607474149,1021,1341,2012,18/12/2016
Twitter,2016-12,yes,Enguerrand DELANNOY,,LR,m,,,delannoy86,"Maire de Saint Pierre de Maille (86), Conseiller departemental remplacant Montmorillon, Delegue 3eme circo 86 Les Republicains, Delegue national Boite a idees.",,,n,,,TRUE,,,412335146,587,1411,2011,17/12/2016
Twitter,2016-12,yes,Marie-Anne KRAFT,,MODEM,f,,,mariannerepubl,Conseillere nationale du MoDem,,,n,,,TRUE,,,56832390,7152,937,2009,20/12/2016
Twitter,2016-12,yes,Hugo OILLIC,,UDI,m,,,hugooillic,"Centriste, #EnMarche, UDI Conseiller Municipal Orvault Cofondateur @Labolitique #ClubDesSuspendus @UDIjeunes44 et Bureau National @UDIjeunes",,,n,,,TRUE,,,514312081,2913,1885,2012,22/12/2016
Twitter,2016-12,yes,Emmanuel CRENNE,https://duckduckgo.com/?q=Emmanuel+CRENNE+twitter,FN,m,,,emmanuelcrenne,Responsable du Front National dans le #Lot (46) - Conseiller Regional Occitanie. Ancien eleve de @sciencespo et @TelecomPTech. #AuNomDuPeuple #Marine2017,,,n,,,FALSE,,,3436765251,6999,4360,2015,23/12/2016
Twitter,2016-12,yes,Benoit SOLES,,LR,m,,,benoitsoles,#Comedien. Secretaire National LR #culture Conseiller d'arrondissement a #Paris03 Chroniqueur #theatre @Transfuge magazine,paris,paris,y,,,TRUE,,,395610181,2054,3872,2011,21/12/2016
Twitter,2016-12,yes,Juliette ESPARGILIERE,,EELV,f,,,espargiliereju,Conseillere regionale #iledefrance - EELV - @lafonderie_idf @ariam_idf @Arcadi_IDF @iauidf @ONDIF @ChoeurVittoria @Cedis_Formation,,,n,,,TRUE,,,2305565006,2144,658,2014,16/12/2016
Twitter,2016-12,yes,Vincent LEGROUX,,LR,m,,,legrouxvincent,Chef de bord a la SNCF TGV Franco Espagnol. Conseiller municipal Les Republicains a Canohes 66680. Membre du comite Les Republicains des Pyrenees Orientales.,,,n,,,TRUE,,,3400236969,100937,995,2015,20/12/2016
Twitter,2016-12,yes,Hussein BOURGI,,PS,m,,,husseinbourgi,"1er Federal du PS Herault, membre du Bureau National du PS, Conseiller Regional Languedoc-Roussillon-Midi-Pyrenees. Mes tweets n'engagent que moi.",,,n,,,TRUE,,,498698825,982,1603,2012,20/12/2016
Twitter,2016-12,yes,Bertrand PLOUVIER,,LR,m,,,plouvierb,Conseiller municipal de #Rennes President du groupe @alternance2020 Conseiller Regional Les Republicains #Bretagne #Circo3502,,,n,,,TRUE,,,622346542,3285,1584,2012,18/12/2016
Twitter,2016-12,yes,Guillaume PENNELLE,https://duckduckgo.com/?q=Guillaume+PENNELLE+twitter,FN,m,,,rouenpennellefn,Secretaire departemental du FN 76 - Conseiller regional de Normandie / Elu municipal Rouen / Professeur d'Histoire-geographie #AuNomDuPeuple #Marine2017,,,n,,,FALSE,,,2375637564,4367,1069,2014,20/12/2016
Twitter,2016-12,yes,Régis LACOSTE,,LR,m,,,regislacoste,#Changeonsvilleurbanne avec @Jwmartin69100 - Delegue Les Republicains de la 6eme circo du Rhone conseiller municipal de Villeurbanne #LesRepublicains,,,n,,,TRUE,,,498664859,20954,839,2012,21/12/2016
Twitter,2016-12,yes,Fabrice ROUSSEL,,PS,m,,,rousselfabrice,Maire de la Chapelle-sur-Erdre - Premier Vice-president de Nantes Metropole - Premier secretaire PS 44,,,n,,,TRUE,,,516642650,2945,2482,2012,22/12/2016
Twitter,2016-12,yes,Emmanuelle DE GENTILI,,PS,f,,,degentili,Maire adj de Bastia - Secretaire Nationale du PS et 1ere federale du @partisocialiste 2B- Presidente office du tourisme Comm d'Agglo de Bastia Conseillere dep2B,,,n,,,TRUE,,,94341073,3106,3387,2009,21/12/2016
Twitter,2016-12,yes,Stéphane MARI,,PS,m,,,stephanemari,"Conseiller municipal PS de la ville de Marseille, conseiller metropolitain, supporter de l'OM depuis toujours et de Consolat depuis peu",,,n,,,TRUE,,,100737290,6951,1930,2009,21/12/2016
Twitter,2016-12,yes,Sebastien PILARD,,LR,m,,,spilard,Candidat LR aux legislatives 2017 sur la 2eme circonscription du 44 - Conseiller Regional VP Eco region Pays de la Loire,,,n,,,TRUE,,,577217916,2504,3111,2012,21/12/2016
Twitter,2016-12,yes,Jean-François RAPIN,,LR,m,,,rapinjf,Senateur du Pas-de-Calais LR (https://t.co/PqrgJhRo0l) / Conseiller regional Hauts-de-France Nord Pas de Calais-Picardie / President de l'ANEL,,,n,,,TRUE,,,2201623084,781,624,2013,21/12/2016
Twitter,2016-12,yes,Catherine CANDELIER,,EELV,f,,,candeliercath,conseillere municipale EELV de Sevres,,,n,,,TRUE,,,386190940,972,338,2011,19/12/2016
Twitter,2016-12,yes,Florence AUGIER,,PS,f,,,florenceaugier,Premiere signataire de la Motion Osons un nouveau pacte citoyen et republicain pour le Congres de Poitiers. Secretaire nationale PS a la vie associative,,,n,,,TRUE,,,49318957,11613,1237,2009,21/12/2016
Twitter,2016-12,yes,Philippe BRILLAULT,,LR,m,,,brillault_ph,"Maire du Chesnay, . Conseiller Departemental des Yvelines,. Secretaire Les Republicains de la 3eme Circo des Yvelines",,,n,,,TRUE,,,581619214,1279,3775,2012,15/12/2016
Twitter,2016-12,yes,Nathalie LAVILLE,,EELV,f,,,nathalielav,"Journaliste, logisticienne. Adjointe au maire du 13e. Candidate EELV europeennes 2014. Presidente association Treize Ecolo. #commerce #GrandParis",paris,paris,y,,,TRUE,,,247241547,297,430,2011,7/12/2016
Twitter,2016-12,yes,Jacques LEFORT,,LR,m,,,jacques_lefort,"Au civil, ingenieur energies renouvelables. A la ville, elu lR d'opposition a #Paris11 et porte-parole environnement de @FrancoisFillon lors des primaires.",paris,paris,y,,,TRUE,,,528601173,5822,4167,2012,21/12/2016
Twitter,2016-12,yes,Blandine GOUEL,,UDI,f,,,blandinegouel,Secretaire generale groupe UDI region Ile-de-France; Conseillere Municipale deleguee a l'enseignement,,,n,,,TRUE,,,2166599718,1349,618,2013,22/12/2016
Twitter,2016-12,yes,Laurent RACAPE,,LR,m,,,laurent_racape,Adjoint au Maire 15e art de Paris charge de la jeunesse. Delegue Les Republicains 12eme circo Paris (15eme nord/7eme partiel). Avec @nk_m pour la #primaire,paris,paris,y,,,TRUE,,,306151649,10424,1526,2011,19/12/2016
Twitter,2016-12,yes,Catherine LECUYER,,LR,f,,,lecuyercatherin,Conseillere de Paris Elue du 8eme arrdt Deleguee nationale Les Republicains Conseillere @MGParis,paris,paris,y,,,TRUE,,,387191565,2802,1507,2011,19/12/2016
Twitter,2016-12,yes,David GUILLERM,,MODEM,m,,,davidguillerm,Responsable Ecommerce Le Comptoir Irlandais / Brest Business School Alumni / Conseiller National MoDem / Webmarketing SEO FrenchTech / Art / Ecologie / Bretagne,,,n,,,TRUE,,,90142813,5130,1326,2009,21/12/2016
Twitter,2016-12,yes,Nawel OUMER,,PS,f,,,naweloumer,Avocate / Conseillere de Paris / SN Justice & Lib Pub PS / #justice #egalite #enfance #femmehomme #democratie #paris #paris11 #belleville #nation #perelachaise,paris,paris,y,,,TRUE,,,301608127,2451,1135,2011,19/12/2016
Twitter,2016-12,yes,Fabrice DURAND,,LR,m,,,fabrice_durand,Conseiller Municipal Les Republicains / Plan De Cuques | Delegue National Les Jeunes Republicains |,,,n,,,TRUE,,,350227798,7865,1895,2011,19/12/2016
Twitter,2016-12,yes,Jean-Jacques BOLZAN,,UDI,m,,,jjbolzan,"conseiller regional, Pdt du Parti Radical 31 Secretaire national agroalimentaire UDI Maire-Adjoint PR-UDI a Toulouse.Pt 2AT,Pdt federation marches de gros",,,n,,,TRUE,,,381423892,12682,2341,2011,20/12/2016
Twitter,2016-12,yes,Gilbert CUZOU,https://duckduckgo.com/?q=Gilbert+CUZOU+twitter,PS,m,,,cuzoug,Conseiller Regional d'Ile-de-France - Parti Socialiste Paris/14eme - tweet perso - Paris & Nantes,paris,paris,y,,,FALSE,,,839721476,3334,827,2012,21/12/2016
Twitter,2016-12,yes,Alain MARSAUD,,LR,m,,,almarsaud,"Depute LR des Francais de l'etranger (Afrique et Moyen-Orient) - Magistrat honoraire, ancien chef du service central de lutte antiterroriste",,,n,,,TRUE,,,1731257143,380,2301,2013,13/12/2016
Twitter,2016-12,yes,Stéphanie BARRE,,PS,f,,,barre_stephanie,"Economie & Sante Publique. Adj. au Maire Sante, Hygiene & Dev. durable Ville d'Orly. BoulBi/Orly et vice versa. BF @Socialiste94 , PS Orly #UMA #Hamon2017",,,n,,,TRUE,,,945769748,33525,1073,2012,21/12/2016
Twitter,2016-12,yes,Marie-Dolores PROST,,LR,f,,,doloresprost,"Conseillere municipale d'opposition LR a Poitiers, elue a Grand Poitiers. Mes tweets sont assumes.#anticonformiste #Faire #FF2017 Passions : F1, Pays Basque...",,,n,,,TRUE,,,555023699,26543,1773,2012,21/12/2016
Twitter,2016-12,yes,Sébastien LOMBARD,,PS,m,,,seblombard,secretaire de section PS haut Val d'Oise- Conseiller federal PS Val d'Oise/Bureau National des adhesions PS/ Conseil National (membre de droit),,,n,,,TRUE,,,262216680,1960,1302,2011,22/12/2016
Twitter,2016-12,yes,Stéphanie VENEZIANO,,PS,f,,,veneziano_s,Paris 19e - Conseillere regionale PS ile de France,paris,paris,y,,,TRUE,,,3377722109,811,696,2015,15/12/2016
Twitter,2016-12,yes,Nicolas ROULY,,PS,m,,,nicolasrouly,Conseiller Departemental de Seine-Maritime Adjoint au Maire de Grand-Quevilly. Premier Secretaire Federal du PS 76,,,n,,,TRUE,,,619370656,703,1996,2012,19/12/2016
Twitter,2016-12,yes,Aurélien BERTRAND,,LR,m,,,bertrandaurel,Droit des Affaires | Delegue Les Republicains de la 2e Circonscription du Loir-et-Cher | Conseiller Municipal de Pruniers-en-Sologne | Ex RDJ @JRepublicains41,,,n,,,TRUE,,,107513086,4937,985,2010,20/12/2016
Twitter,2016-12,yes,Nadine HERRATI,,EELV,f,,,nadineherrati,"Maire adjoint EELV Gentilly Val de Marne Prevention Protection de l'enfance, Sante Centre municipal de Sante et Petite Enfance",,,n,,,TRUE,,,2897399302,9514,403,2014,20/12/2016
Twitter,2016-12,yes,Patricia GALLERNEAU,,MODEM,f,,,pgallerneau,Conseillere Regionale MoDem Pays de la Loire. Cadre Finances.,,,n,,,TRUE,,,386751099,1982,618,2011,19/12/2016
